,main1,main2,main3,main4,main5,main6,bonus,times,date
308,03,13,18,20,23,28,35,第308回,2006年9月14日
309,01,04,26,36,41,42,09,第309回,2006年9月21日
310,03,04,05,18,28,37,26,第310回,2006年9月28日
311,01,16,22,36,37,42,34,第311回,2006年10月5日
312,02,17,22,29,38,42,16,第312回,2006年10月12日
313,01,19,21,31,32,40,33,第313回,2006年10月19日
314,03,08,14,30,38,43,06,第314回,2006年10月26日
315,01,02,17,24,40,41,31,第315回,2006年11月2日
316,03,04,20,30,40,41,31,第316回,2006年11月9日
317,07,08,15,30,35,36,40,第317回,2006年11月16日
318,02,07,13,16,36,37,41,第318回,2006年11月23日
319,15,20,23,28,37,40,17,第319回,2006年11月30日
320,01,05,25,27,38,41,09,第320回,2006年12月7日
321,21,29,31,36,38,41,10,第321回,2006年12月14日
322,18,19,22,25,35,42,36,第322回,2006年12月21日
323,09,11,21,23,33,39,26,第323回,2006年12月28日
324,05,13,27,37,39,41,36,第324回,2007年1月4日
325,06,07,18,29,33,39,43,第325回,2007年1月11日
326,01,07,09,14,23,43,19,第326回,2007年1月18日
327,06,12,14,28,31,36,35,第327回,2007年1月25日
328,03,07,10,12,19,36,35,第328回,2007年2月1日
329,06,08,15,17,39,40,37,第329回,2007年2月8日
330,05,12,16,19,28,39,34,第330回,2007年2月15日
331,02,08,17,24,32,38,35,第331回,2007年2月22日
332,07,08,16,24,26,34,19,第332回,2007年3月1日
333,01,05,07,15,41,42,38,第333回,2007年3月8日
334,11,14,17,18,34,36,23,第334回,2007年3月15日
335,04,05,10,23,36,42,08,第335回,2007年3月22日
336,03,06,13,17,20,29,11,第336回,2007年3月29日
337,05,15,16,20,34,39,29,第337回,2007年4月5日
338,08,10,25,31,39,40,35,第338回,2007年4月12日
339,03,05,09,26,34,36,12,第339回,2007年4月19日
340,04,10,13,31,35,42,07,第340回,2007年4月26日
341,04,14,23,25,28,35,41,第341回,2007年5月3日
342,08,15,26,27,34,38,10,第342回,2007年5月10日
343,13,28,29,37,38,41,35,第343回,2007年5月17日
344,08,11,16,20,28,36,42,第344回,2007年5月24日
345,10,21,22,25,35,37,18,第345回,2007年5月31日
346,04,09,11,12,32,38,16,第346回,2007年6月7日
347,08,20,23,27,32,33,13,第347回,2007年6月14日
348,04,05,06,27,36,38,13,第348回,2007年6月21日
349,08,13,15,19,20,30,25,第349回,2007年6月28日
350,13,18,25,26,29,40,06,第350回,2007年7月5日
351,03,13,16,24,26,43,15,第351回,2007年7月12日
352,06,08,24,25,34,38,10,第352回,2007年7月19日
353,01,09,15,16,22,26,29,第353回,2007年7月26日
354,04,06,22,31,34,41,43,第354回,2007年8月2日
355,01,11,24,26,36,37,39,第355回,2007年8月9日
356,01,05,08,12,17,29,28,第356回,2007年8月16日
357,02,10,11,12,19,38,06,第357回,2007年8月23日
358,12,31,32,34,39,42,30,第358回,2007年8月30日
359,03,05,19,20,23,27,40,第359回,2007年9月6日
360,02,03,06,14,26,42,25,第360回,2007年9月13日
361,01,21,28,30,37,43,31,第361回,2007年9月20日
